0 0.99 0.01 0 1
0 0.891 0.059 0.05 1
50 0.36531 0.28969 0.345 1
100 -0.692957 -0.100493 1.79345 1
150 -1.38933 1.09835 1.29098 1
200 13.8703 -19.6531 6.78272 1
250 2739.82 -2647.34 -91.4826 0.999802
300 7.2535e+07 -7.25217e+07 -13328.2 7.83203
350 5.26036e+16 -5.26036e+16 -3.62622e+08 -3.62622e+08
400 2.76714e+34 -2.76714e+34 -2.63018e+17 -2.63018e+17
450 inf -inf -1.38357e+35 nan
500 inf nan -inf nan
550 nan nan nan nan
600 nan nan nan nan
650 nan nan nan nan
700 nan nan nan nan
750 nan nan nan nan
800 nan nan nan nan
850 nan nan nan nan
900 nan nan nan nan
950 nan nan nan nan
1000 nan nan nan nan
